record_id,source,observed_title,category,collection_stage,price_captured,common_service_date_verified,duplicate_review_status,source_url,collection_note
APD02-094,EXPEDIA,Amsterdam: AMAZE Immersive Light & Sound Experience,Performance/Other,ANALYSIS_READY,YES,NO,CONFIRMED_SAME_FAMILY,https://www.expedia.com/things-to-do/amaze-amsterdam-immersive-audiovisual-experience.a4794919.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-095,EXPEDIA,The Amsterdam Dungeon Admission Ticket,Performance/Other,ANALYSIS_READY,YES,NO,CONFIRMED_SAME_FAMILY,https://www.expedia.com/things-to-do/the-amsterdam-dungeon-admission-ticket.a50249484.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-096,EXPEDIA,Madame Tussauds Amsterdam Admission Ticket,Pass/Attraction,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/madame-tussauds-amsterdam-admission-ticket.a50249749.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-097,EXPEDIA,"Moco Museum: Banksy, Basquiat, Warhol, Kusama & More",Pass/Attraction,ANALYSIS_READY,YES,NO,CONFIRMED_SAME_FAMILY,https://www.expedia.com/things-to-do/official-tickets-moco-modern-contemporary-art-museum.a50581336.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-098,EXPEDIA,Amsterdam: Exclusive Heineken Experience VIP Tour Ticket,Hybrid,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/amsterdam-exclusive-heineken-experience-vip-tour-ticket.a4997663.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-099,EXPEDIA,Heineken Canal Cruise with Drinks & Heineken Experience,Hybrid,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/skip-the-line-heineken-experience-ticket-canal-cruise.a486733.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-100,EXPEDIA,Amsterdam Combo: Heineken Experience & 1-Hour Canal Cruise,Hybrid,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.expedia.com/things-to-do/amsterdam-combo-heineken-experience-1-hour-canal-cruise.a740034.activity-details,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-101,IAMSTERDAM,THIS IS HOLLAND - The Ultimate 5D Flight Experience,Performance/Other,ANALYSIS_READY,NON_NUMERIC,NO,CONFIRMED_SAME_FAMILY,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/attractions/this-is-holland-the-ultimate-5d-flight-experience,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-102,IAMSTERDAM,The Amsterdam Dungeon,Performance/Other,ANALYSIS_READY,NON_NUMERIC,NO,CONFIRMED_SAME_FAMILY,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/attractions/the-amsterdam-dungeon,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-103,IAMSTERDAM,Moco Museum,Pass/Attraction,ANALYSIS_READY,NON_NUMERIC,NO,CONFIRMED_SAME_FAMILY,https://www.iamsterdam.com/en/whats-on/calendar/museums-and-galleries/museums/moco-museum,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-104,IAMSTERDAM,FEBOAT,Hybrid,ANALYSIS_READY,NO,NO,CONFIRMED_DISTINCT,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/canal-cruises/feboat,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-105,GYG,Amsterdam: Rijksmuseum Entry Ticket,Pass/Attraction,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/amsterdam-rijksmuseum-entry-ticket-t7135/,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-106,GYG,Amsterdam: Moco Museum Entry Ticket and Canal Cruise,Hybrid,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/amsterdam-l36/amsterdam-moco-museum-and-1-hour-canal-cruise-t161439/,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-107,GYG,AMAZE Amsterdam: Immersive Audiovisual Experience,Performance/Other,ANALYSIS_READY,YES,NO,CONFIRMED_SAME_FAMILY,https://www.getyourguide.com/amsterdam-l36/amsterdam-amaze-immersive-audiovisual-experience-ticket-t404922/,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
APD02-108,GYG,Amsterdam: This Is Holland 5D Flight and Canal Cruise Combo,Hybrid,ANALYSIS_READY,YES,NO,CONFIRMED_DISTINCT,https://www.getyourguide.com/en-gb/amsterdam-l36/amsterdam-combination-this-is-holland-and-1hr-canal-cruise-t458948/,Phase 2C gap closure; common-date checkout/FX/second-review remain pending. Phase 2E: preserved; price excluded from cross-product comparison unless common-window checkout could be verified.
