id,name,type,category,emirate,area,zone,zoneCode,maps,source,verified
"uae-dxb-downtown-dubai-hotel-1","Elite Downtown Dubai Suites 1","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Elite%20Downtown%20Dubai%20Suites%201%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-2","Signature Downtown Dubai Resort 2","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Signature%20Downtown%20Dubai%20Resort%202%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-3","Garden Downtown Dubai Residence 3","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Garden%20Downtown%20Dubai%20Residence%203%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-4","Palace Downtown Dubai Collection 4","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palace%20Downtown%20Dubai%20Collection%204%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-5","Harbour Downtown Dubai Tower 5","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Harbour%20Downtown%20Dubai%20Tower%205%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-6","Oasis Downtown Dubai Apartments 6","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Oasis%20Downtown%20Dubai%20Apartments%206%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-7","Skyline Downtown Dubai Hotel 7","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Skyline%20Downtown%20Dubai%20Hotel%207%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-8","Metro Downtown Dubai Suites 8","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Suites%208%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-9","Cultural Downtown Dubai Resort 9","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Resort%209%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-10","Golden Downtown Dubai Residence 10","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Residence%2010%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-11","Palm Downtown Dubai Collection 11","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palm%20Downtown%20Dubai%20Collection%2011%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-12","Grand Downtown Dubai Tower 12","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Grand%20Downtown%20Dubai%20Tower%2012%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-13","Royal Downtown Dubai Apartments 13","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Royal%20Downtown%20Dubai%20Apartments%2013%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-14","City Downtown Dubai Hotel 14","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=City%20Downtown%20Dubai%20Hotel%2014%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-15","Pearl Downtown Dubai Suites 15","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Pearl%20Downtown%20Dubai%20Suites%2015%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-16","Marina Downtown Dubai Resort 16","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Marina%20Downtown%20Dubai%20Resort%2016%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-17","Creek Downtown Dubai Residence 17","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Creek%20Downtown%20Dubai%20Residence%2017%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-18","Heritage Downtown Dubai Collection 18","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Heritage%20Downtown%20Dubai%20Collection%2018%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-19","Central Downtown Dubai Tower 19","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Central%20Downtown%20Dubai%20Tower%2019%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-20","Vista Downtown Dubai Apartments 20","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Vista%20Downtown%20Dubai%20Apartments%2020%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-21","Elite Downtown Dubai Hotel 21","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Elite%20Downtown%20Dubai%20Hotel%2021%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-22","Signature Downtown Dubai Suites 22","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Signature%20Downtown%20Dubai%20Suites%2022%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-23","Garden Downtown Dubai Resort 23","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Garden%20Downtown%20Dubai%20Resort%2023%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-24","Palace Downtown Dubai Residence 24","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palace%20Downtown%20Dubai%20Residence%2024%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-25","Harbour Downtown Dubai Collection 25","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Harbour%20Downtown%20Dubai%20Collection%2025%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-26","Oasis Downtown Dubai Tower 26","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Oasis%20Downtown%20Dubai%20Tower%2026%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-27","Skyline Downtown Dubai Apartments 27","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Skyline%20Downtown%20Dubai%20Apartments%2027%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-28","Metro Downtown Dubai Hotel 28","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Hotel%2028%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-29","Cultural Downtown Dubai Suites 29","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Suites%2029%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-30","Golden Downtown Dubai Resort 30","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Resort%2030%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-31","Palm Downtown Dubai Residence 31","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palm%20Downtown%20Dubai%20Residence%2031%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-32","Grand Downtown Dubai Collection 32","Hotel","Hotel","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Grand%20Downtown%20Dubai%20Collection%2032%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-1","Signature Downtown Dubai Executive Apartments 1","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Signature%20Downtown%20Dubai%20Executive%20Apartments%201%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-2","Garden Downtown Dubai Hotel Apartments 2","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Garden%20Downtown%20Dubai%20Hotel%20Apartments%202%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-3","Palace Downtown Dubai Residence 3","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palace%20Downtown%20Dubai%20Residence%203%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-4","Harbour Downtown Dubai Executive Apartments 4","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Harbour%20Downtown%20Dubai%20Executive%20Apartments%204%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-5","Oasis Downtown Dubai Hotel Apartments 5","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Oasis%20Downtown%20Dubai%20Hotel%20Apartments%205%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-6","Skyline Downtown Dubai Residence 6","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Skyline%20Downtown%20Dubai%20Residence%206%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-7","Metro Downtown Dubai Executive Apartments 7","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Executive%20Apartments%207%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-8","Cultural Downtown Dubai Hotel Apartments 8","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Hotel%20Apartments%208%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-9","Golden Downtown Dubai Residence 9","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Residence%209%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-10","Palm Downtown Dubai Executive Apartments 10","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palm%20Downtown%20Dubai%20Executive%20Apartments%2010%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-11","Grand Downtown Dubai Hotel Apartments 11","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Grand%20Downtown%20Dubai%20Hotel%20Apartments%2011%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-12","Royal Downtown Dubai Residence 12","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Royal%20Downtown%20Dubai%20Residence%2012%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-13","City Downtown Dubai Executive Apartments 13","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=City%20Downtown%20Dubai%20Executive%20Apartments%2013%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-14","Pearl Downtown Dubai Hotel Apartments 14","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Pearl%20Downtown%20Dubai%20Hotel%20Apartments%2014%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-15","Marina Downtown Dubai Residence 15","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Marina%20Downtown%20Dubai%20Residence%2015%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-16","Creek Downtown Dubai Executive Apartments 16","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Creek%20Downtown%20Dubai%20Executive%20Apartments%2016%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-17","Heritage Downtown Dubai Hotel Apartments 17","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Heritage%20Downtown%20Dubai%20Hotel%20Apartments%2017%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-hotel-apartment-18","Central Downtown Dubai Residence 18","Hotel Apartment","Hotel Apartment","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Central%20Downtown%20Dubai%20Residence%2018%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-1","Garden Downtown Dubai Resort 1","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Garden%20Downtown%20Dubai%20Resort%201%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-2","Palace Downtown Dubai Beach Resort 2","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palace%20Downtown%20Dubai%20Beach%20Resort%202%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-3","Harbour Downtown Dubai Desert Resort 3","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Harbour%20Downtown%20Dubai%20Desert%20Resort%203%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-4","Oasis Downtown Dubai Resort 4","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Oasis%20Downtown%20Dubai%20Resort%204%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-5","Skyline Downtown Dubai Beach Resort 5","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Skyline%20Downtown%20Dubai%20Beach%20Resort%205%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-6","Metro Downtown Dubai Desert Resort 6","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Desert%20Resort%206%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-7","Cultural Downtown Dubai Resort 7","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Resort%207%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-8","Golden Downtown Dubai Beach Resort 8","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Beach%20Resort%208%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-9","Palm Downtown Dubai Desert Resort 9","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palm%20Downtown%20Dubai%20Desert%20Resort%209%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-10","Grand Downtown Dubai Resort 10","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Grand%20Downtown%20Dubai%20Resort%2010%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-11","Royal Downtown Dubai Beach Resort 11","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Royal%20Downtown%20Dubai%20Beach%20Resort%2011%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-resort-12","City Downtown Dubai Desert Resort 12","Resort","Resort","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=City%20Downtown%20Dubai%20Desert%20Resort%2012%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-mall-1","Palace Downtown Dubai Shopping Centre 1","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palace%20Downtown%20Dubai%20Shopping%20Centre%201%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-mall-2","Harbour Downtown Dubai Retail District 2","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Harbour%20Downtown%20Dubai%20Retail%20District%202%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-mall-3","Oasis Downtown Dubai Mall 3","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Oasis%20Downtown%20Dubai%20Mall%203%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-mall-4","Skyline Downtown Dubai Shopping Centre 4","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Skyline%20Downtown%20Dubai%20Shopping%20Centre%204%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-mall-5","Metro Downtown Dubai Retail District 5","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Retail%20District%205%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-mall-6","Cultural Downtown Dubai Mall 6","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Mall%206%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-mall-7","Golden Downtown Dubai Shopping Centre 7","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Shopping%20Centre%207%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-mall-8","Palm Downtown Dubai Retail District 8","Mall","Mall","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palm%20Downtown%20Dubai%20Retail%20District%208%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-museum-1","Harbour Downtown Dubai Visitor Centre 1","Museum","Museum","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Harbour%20Downtown%20Dubai%20Visitor%20Centre%201%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-museum-2","Oasis Downtown Dubai Museum 2","Museum","Museum","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Oasis%20Downtown%20Dubai%20Museum%202%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-museum-3","Skyline Downtown Dubai Gallery 3","Museum","Museum","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Skyline%20Downtown%20Dubai%20Gallery%203%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-museum-4","Metro Downtown Dubai Visitor Centre 4","Museum","Museum","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Visitor%20Centre%204%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-museum-5","Cultural Downtown Dubai Museum 5","Museum","Museum","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Museum%205%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-museum-6","Golden Downtown Dubai Gallery 6","Museum","Museum","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Gallery%206%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-1","Oasis Downtown Dubai Experience 1","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Oasis%20Downtown%20Dubai%20Experience%201%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-2","Skyline Downtown Dubai Landmark 2","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Skyline%20Downtown%20Dubai%20Landmark%202%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-3","Metro Downtown Dubai Adventure Park 3","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Adventure%20Park%203%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-4","Cultural Downtown Dubai Experience 4","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Experience%204%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-5","Golden Downtown Dubai Landmark 5","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Landmark%205%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-6","Palm Downtown Dubai Adventure Park 6","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palm%20Downtown%20Dubai%20Adventure%20Park%206%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-7","Grand Downtown Dubai Experience 7","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Grand%20Downtown%20Dubai%20Experience%207%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-8","Royal Downtown Dubai Landmark 8","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Royal%20Downtown%20Dubai%20Landmark%208%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-9","City Downtown Dubai Adventure Park 9","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=City%20Downtown%20Dubai%20Adventure%20Park%209%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-10","Pearl Downtown Dubai Experience 10","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Pearl%20Downtown%20Dubai%20Experience%2010%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-11","Marina Downtown Dubai Landmark 11","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Marina%20Downtown%20Dubai%20Landmark%2011%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-attraction-12","Creek Downtown Dubai Adventure Park 12","Attraction","Attraction","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Creek%20Downtown%20Dubai%20Adventure%20Park%2012%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-1","Skyline Downtown Dubai Majlis 1","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Skyline%20Downtown%20Dubai%20Majlis%201%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-2","Metro Downtown Dubai Heritage Site 2","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Heritage%20Site%202%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-3","Cultural Downtown Dubai Cultural Centre 3","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Cultural%20Centre%203%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-4","Golden Downtown Dubai Fort 4","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Fort%204%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-5","Palm Downtown Dubai Majlis 5","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Palm%20Downtown%20Dubai%20Majlis%205%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-6","Grand Downtown Dubai Heritage Site 6","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Grand%20Downtown%20Dubai%20Heritage%20Site%206%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-7","Royal Downtown Dubai Cultural Centre 7","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Royal%20Downtown%20Dubai%20Cultural%20Centre%207%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-8","City Downtown Dubai Fort 8","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=City%20Downtown%20Dubai%20Fort%208%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-9","Pearl Downtown Dubai Majlis 9","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Pearl%20Downtown%20Dubai%20Majlis%209%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-culture-site-10","Marina Downtown Dubai Heritage Site 10","Culture Site","Culture Site","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Marina%20Downtown%20Dubai%20Heritage%20Site%2010%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-transport-hub-1","Metro Downtown Dubai Cruise Terminal 1","Transport Hub","Transport Hub","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Metro%20Downtown%20Dubai%20Cruise%20Terminal%201%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-transport-hub-2","Cultural Downtown Dubai Bus Station 2","Transport Hub","Transport Hub","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Cultural%20Downtown%20Dubai%20Bus%20Station%202%20Dubai%20UAE","generated-seed","false"
"uae-dxb-downtown-dubai-transport-hub-3","Golden Downtown Dubai Airport Meet Point 3","Transport Hub","Transport Hub","Dubai","Downtown Dubai","Downtown Dubai","Z6","https://maps.google.com/?q=Golden%20Downtown%20Dubai%20Airport%20Meet%20Point%203%20Dubai%20UAE","generated-seed","false"
