name,type,category,stars,zone,note,access,source,confidence
Premier Inn Al Raha / Airport Residence,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Raha / Airport City Hotel,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Ain Hotel,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Ain Hotel & Apartments,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Ain Suites,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Ain Resort,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Ain Residence,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Ain City Hotel,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Dhafra / Liwa Hotel,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Dhafra / Liwa Hotel & Apartments,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Dhafra / Liwa Suites,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Dhafra / Liwa Resort,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Dhafra / Liwa Residence,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Al Dhafra / Liwa City Hotel,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Downtown Hotel,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Downtown Hotel & Apartments,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Downtown Suites,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Downtown Resort,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Downtown Residence,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Downtown City Hotel,Hotel,Hotel,,Dubai Downtown,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Downtown,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Marina / JBR Hotel,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Marina / JBR Hotel & Apartments,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Marina / JBR Suites,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Marina / JBR Resort,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Marina / JBR Residence,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Marina / JBR City Hotel,Hotel,Hotel,,Dubai Marina / JBR,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Marina / JBR,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Palm Jumeirah Hotel,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Palm Jumeirah Hotel & Apartments,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Palm Jumeirah Suites,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Palm Jumeirah Resort,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Palm Jumeirah Residence,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Palm Jumeirah City Hotel,Hotel,Hotel,,Palm Jumeirah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Palm Jumeirah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Deira / Bur Dubai Hotel,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Deira / Bur Dubai Hotel & Apartments,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Deira / Bur Dubai Suites,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Deira / Bur Dubai Resort,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Deira / Bur Dubai Residence,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Deira / Bur Dubai City Hotel,Hotel,Hotel,,Deira / Bur Dubai,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Deira / Bur Dubai,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Creek / Festival City Hotel,Hotel,Hotel,,Dubai Creek / Festival City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Creek / Festival City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Creek / Festival City Hotel & Apartments,Hotel,Hotel,,Dubai Creek / Festival City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Creek / Festival City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Creek / Festival City Suites,Hotel,Hotel,,Dubai Creek / Festival City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Creek / Festival City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Creek / Festival City Resort,Hotel,Hotel,,Dubai Creek / Festival City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Creek / Festival City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Creek / Festival City Residence,Hotel,Hotel,,Dubai Creek / Festival City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Creek / Festival City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Dubai Creek / Festival City City Hotel,Hotel,Hotel,,Dubai Creek / Festival City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Dubai Creek / Festival City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Business Bay Hotel,Hotel,Hotel,,Business Bay,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Business Bay,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Business Bay Hotel & Apartments,Hotel,Hotel,,Business Bay,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Business Bay,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Business Bay Suites,Hotel,Hotel,,Business Bay,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Business Bay,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Business Bay Resort,Hotel,Hotel,,Business Bay,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Business Bay,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Business Bay Residence,Hotel,Hotel,,Business Bay,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Business Bay,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Business Bay City Hotel,Hotel,Hotel,,Business Bay,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Business Bay,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Sharjah City Hotel,Hotel,Hotel,,Sharjah City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Sharjah City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Sharjah City Hotel & Apartments,Hotel,Hotel,,Sharjah City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Sharjah City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Sharjah City Suites,Hotel,Hotel,,Sharjah City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Sharjah City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Sharjah City Resort,Hotel,Hotel,,Sharjah City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Sharjah City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Sharjah City Residence,Hotel,Hotel,,Sharjah City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Sharjah City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Sharjah City City Hotel,Hotel,Hotel,,Sharjah City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Sharjah City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ajman City Hotel,Hotel,Hotel,,Ajman City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ajman City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ajman City Hotel & Apartments,Hotel,Hotel,,Ajman City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ajman City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ajman City Suites,Hotel,Hotel,,Ajman City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ajman City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ajman City Resort,Hotel,Hotel,,Ajman City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ajman City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ajman City Residence,Hotel,Hotel,,Ajman City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ajman City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ajman City City Hotel,Hotel,Hotel,,Ajman City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ajman City,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ras Al Khaimah Hotel,Hotel,Hotel,,Ras Al Khaimah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ras Al Khaimah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ras Al Khaimah Hotel & Apartments,Hotel,Hotel,,Ras Al Khaimah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ras Al Khaimah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ras Al Khaimah Suites,Hotel,Hotel,,Ras Al Khaimah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ras Al Khaimah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ras Al Khaimah Resort,Hotel,Hotel,,Ras Al Khaimah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ras Al Khaimah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ras Al Khaimah Residence,Hotel,Hotel,,Ras Al Khaimah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ras Al Khaimah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Ras Al Khaimah City Hotel,Hotel,Hotel,,Ras Al Khaimah,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Ras Al Khaimah,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Fujairah / East Coast Hotel,Hotel,Hotel,,Fujairah / East Coast,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Fujairah / East Coast,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Fujairah / East Coast Hotel & Apartments,Hotel,Hotel,,Fujairah / East Coast,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Fujairah / East Coast,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Fujairah / East Coast Suites,Hotel,Hotel,,Fujairah / East Coast,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Fujairah / East Coast,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Fujairah / East Coast Resort,Hotel,Hotel,,Fujairah / East Coast,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Fujairah / East Coast,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Fujairah / East Coast Residence,Hotel,Hotel,,Fujairah / East Coast,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Fujairah / East Coast,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Fujairah / East Coast City Hotel,Hotel,Hotel,,Fujairah / East Coast,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Fujairah / East Coast,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Umm Al Quwain Hotel,Hotel,Hotel,,Umm Al Quwain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Umm Al Quwain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Umm Al Quwain Hotel & Apartments,Hotel,Hotel,,Umm Al Quwain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Umm Al Quwain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Umm Al Quwain Suites,Hotel,Hotel,,Umm Al Quwain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Umm Al Quwain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Umm Al Quwain Resort,Hotel,Hotel,,Umm Al Quwain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Umm Al Quwain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Umm Al Quwain Residence,Hotel,Hotel,,Umm Al Quwain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Umm Al Quwain,InfraDispatch UAE seed expansion,needs-verification
Premier Inn Umm Al Quwain City Hotel,Hotel,Hotel,,Umm Al Quwain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Umm Al Quwain,InfraDispatch UAE seed expansion,needs-verification
Rove Abu Dhabi City Hotel,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Rove Abu Dhabi City Hotel & Apartments,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Rove Abu Dhabi City Suites,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Rove Abu Dhabi City Resort,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Rove Abu Dhabi City Residence,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Rove Abu Dhabi City City Hotel,Hotel,Hotel,,Abu Dhabi City,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Abu Dhabi City,InfraDispatch UAE seed expansion,needs-verification
Rove Yas Island Hotel,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Rove Yas Island Hotel & Apartments,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Rove Yas Island Suites,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Rove Yas Island Resort,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Rove Yas Island Residence,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Rove Yas Island City Hotel,Hotel,Hotel,,Yas Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Yas Island,InfraDispatch UAE seed expansion,needs-verification
Rove Saadiyat Island Hotel,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Rove Saadiyat Island Hotel & Apartments,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Rove Saadiyat Island Suites,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Rove Saadiyat Island Resort,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Rove Saadiyat Island Residence,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Rove Saadiyat Island City Hotel,Hotel,Hotel,,Saadiyat Island,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Saadiyat Island,InfraDispatch UAE seed expansion,needs-verification
Rove Al Raha / Airport Hotel,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Rove Al Raha / Airport Hotel & Apartments,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Rove Al Raha / Airport Suites,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Rove Al Raha / Airport Resort,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Rove Al Raha / Airport Residence,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Rove Al Raha / Airport City Hotel,Hotel,Hotel,,Al Raha / Airport,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Raha / Airport,InfraDispatch UAE seed expansion,needs-verification
Rove Al Ain Hotel,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Rove Al Ain Hotel & Apartments,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Rove Al Ain Suites,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Rove Al Ain Resort,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Rove Al Ain Residence,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Rove Al Ain City Hotel,Hotel,Hotel,,Al Ain,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Ain,InfraDispatch UAE seed expansion,needs-verification
Rove Al Dhafra / Liwa Hotel,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Rove Al Dhafra / Liwa Hotel & Apartments,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Rove Al Dhafra / Liwa Suites,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Rove Al Dhafra / Liwa Resort,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
Rove Al Dhafra / Liwa Residence,Hotel,Hotel,,Al Dhafra / Liwa,"Generated UAE hotel seed row for operational search coverage; verify exact property name, lobby, coach access and Google Maps pin before dispatch.",Al Dhafra / Liwa,InfraDispatch UAE seed expansion,needs-verification
